,x,y,name,1128,1307,1131,1070,1107,1139,1145,1092,1140,1138,1129,1122,1399,1311,1200,1692,1105,1103,1433,1121,1137,1309,1658,1654,1134,1054,1308,1167,1507,1651,1117,1383,1414,1360,1106,1132,1404,1259,1344,1642,1412,1244,1403
91,1472,,/Users/akshitshishodia/tracker/roboDK /pred/91.png,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,1488,,/Users/akshitshishodia/tracker/roboDK /pred/92.png,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,1472,,/Users/akshitshishodia/tracker/roboDK /pred/93.png,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,1488,,/Users/akshitshishodia/tracker/roboDK /pred/94.png,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,1470,,/Users/akshitshishodia/tracker/roboDK /pred/95.png,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,1469,,/Users/akshitshishodia/tracker/roboDK /pred/96.png,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,1477,,/Users/akshitshishodia/tracker/roboDK /pred/97.png,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,
98,1364,,/Users/akshitshishodia/tracker/roboDK /pred/98.png,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,1470,,/Users/akshitshishodia/tracker/roboDK /pred/99.png,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1472,,/Users/akshitshishodia/tracker/roboDK /pred/100.png,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,1488,,/Users/akshitshishodia/tracker/roboDK /pred/101.png,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,1472,,/Users/akshitshishodia/tracker/roboDK /pred/102.png,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,1488,,/Users/akshitshishodia/tracker/roboDK /pred/103.png,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,1472,,/Users/akshitshishodia/tracker/roboDK /pred/104.png,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,1472,,/Users/akshitshishodia/tracker/roboDK /pred/105.png,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,1454,,/Users/akshitshishodia/tracker/roboDK /pred/106.png,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,
107,1454,,/Users/akshitshishodia/tracker/roboDK /pred/107.png,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,
108,1488,,/Users/akshitshishodia/tracker/roboDK /pred/108.png,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,1472,,/Users/akshitshishodia/tracker/roboDK /pred/109.png,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
